contrato,estatus,mes,modalidad,origen_de_recursos,tipo_infraestructura,descripcion_obra,ubicacion,zona,presupuesto,ejercido_url,contratista,contratista_rfc
OPG-OD-EYP-AD-C07-059/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Estudios y Proyectos ( Proyecto ),DICTAMEN TECNICO DE SEGURIDAD ESTRUCTURAL Y ADAPTACION ESTRUCTURAL PARA EDIFICIO PUBLICO DE LA EDIFICACION PATRIMONIAL CASA REFORMA.,"REFORMA NUMEROS 363, 367, 369 Y 373, EN EL CENTRO HISTORICO DE LA ZONA 1 CENTRO.",Zona 1: Centro,124601.4,obraDetalle.php?id_obra=14EYPZ1059,"Asesydis, S.C.",ASE080211FP1
OPG-OD-EQP-AD-C08-084/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Obras Varias Equipamiento,"1ra. ETAPA DE EXCAVACIÓN DE 0.00 A 2.00 MTS DE PROFUNDIDAD PARA LA CONSTRUCCIÓN DEL NUEVO MERCADO CORONA, CON DEMOLICIÓN DE BANQUETAS, COLUMNAS, ZAPATAS, DESINSTALACIÓN DE SISTEMA ELÉCTRICO EXISTENTE, ASÍ COMO LA DEMOLICIÓN DE LOSA DE CONCRETO ARMADO.","MERCADO CORONA ENTRE LAS CALLES MIGUEL HIDALGO, ZARAGOZA, SANTA MÒNICA Y LA CALLE INDEPENDENCIA EN LA ZONA 1 CENTRO.",Zona 1: Centro,2787476.79,obraDetalle.php?id_obra=14EQPZ1084,Grupo Constructor Xolot S.A. de C.V.,GCX0508239ZA
OPG-OD-EQP-AD-C08-085/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Obras Varias Equipamiento,2da ETAPA DE LA EXCAVACION EN EL MERCADO CORONA DE 2 A 4.50 MTS PARA LA CONSTRUCCION DEL NUEVO MERCADO CORONA.,"MERCADO CORONA ENTRE LAS CALLES MIGUEL HIDALGO, ZARAGOZA, SANTA MONICA Y LA CALLE INDEPENDENCIA EN LA ZONA 1 CENTRO.",Zona 1: Centro,2831104.77,obraDetalle.php?id_obra=14EQPZ1085,"Estrategia Grupo Constructor, S.A. de C.V.",EGC990317995
OPG-OD-EQP-AD-C08-086/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Obras Varias Construcción,3ra. ETAPA DE LA EXCAVACIÓN EN EL MERCADO CORONA DE 4.50 A 7 MTS PARA LA CONSTRUCCIÓN DEL NUEVO MERCADO CORONA,"MERCADO CORONA ENTRE LAS CALLES MIGUEL HIDALGO, ZARAGOZA, SANTA MÒNICA Y LA CALLE INDEPENDENCIA EN LA ZONA 1 CENTRO",Zona 1: Centro,2817685.24,obraDetalle.php?id_obra=14EQPZ1086,Gabriel Plascencia López,PALG720709MX4
OPG-OD-EQP-AD-E01-159/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Obras Varias Equipamiento,READECUACIÓN PARA ESTACIONAMIENTO,"PREDIO ENTRE LAS CALLES DE HUMBOLDT, JUAN MANUEL Y SAN FELIPE, COL. CENTRO, ZONA 1 CENTRO. PREDIO DE LAS CALLES DE SAN DIEGO ENTRE ENCARNACION ROSAS Y AGUSTIN RIVERA, COL. CENTRO, ZONA 1  CENTRO.",Zona 1: Centro,645645.29,obraDetalle.php?id_obra=14EQPZ1159,"Estrategia Grupo Constructor, S.A. de C.V.",EGC990317995
OPG-CONACULTA-EQP-AD-E01-160/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,FEDERAL,Obras Varias Equipamiento,EQUIPAMIENTO ESCÉNICO Y AUDIOVISUAL DEL TEATRO TORRES BODET,"AV. ESPAÑA ESQ. CON AV. CHAPULTEPEC SUR, EN LA COL. MODERNA DE LA ZONA 1 CENTRO",Zona 1: Centro,979858.67,obraDetalle.php?id_obra=14EQPZ1160,Chemtrol Mexico S.A. de C.V.,CME121205RZ5
OPG-R33-EQP-AD-E01-161/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,APORTACION FEDERAL RAMO 33,Obras Varias Equipamiento,REHABILITACIÓN DE BAÑOS DE LA SECRETARÍA DE DESARROLLO SOCIAL DE LA UNIDAD ADMINISTRATIVA REFORMA,"5 DE FEBRERO Y ANALCO, COL. LAS CONCHAS, DE LA ZONA 1 CENTRO",Zona 1: Centro,831941.86,obraDetalle.php?id_obra=14EQPZ1161,Grupo Constructor Innoblack S.A. de C.V.,GCI070523CW4
OPG-OD-EQP-AD-E01-162/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Riesgos ( Contingencias ),OBRAS DE EMERGENCIA EN VIALIDADES Y EDIFICIOS MUNICIPALES,"AV. LOPEZ MATEOS ENTRE FERNANDO CELADA Y AV. HIDALGO, EN LA COL. VALLARTA NORTE DE LA ZONA 2 MINERVA",Zona 2: Minerva,1750000.0,obraDetalle.php?id_obra=14EQPZ2162,Ingenieria y Construcciones Anrol. S.A. de C.V.,ICA091028E40
OPG-SUBSEMUN-EQP-AD-E01-163/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,FEDERAL,Obras Varias Equipamiento,"CONSTRUCCION DE SKATOPISTA EN EL PARQUE RECREATIVO ""MIRAVALLE""","AV. ARTES PLASTICAS Y ANTONIO CASTRO, EN LA COL. 1ro DE MAYO DE LA ZONA 7 CRUZ DEL SUR",Zona 7: Cruz del Sur,2853200.0,obraDetalle.php?id_obra=14EQPZ7163,"Constructora y Desarrolladora de Servicios Unidos, S.A. de C.V.",CDD1011134LA
OPG-SUBSEMUN-EQP-AD-E01-164/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,FEDERAL,Obras Varias Equipamiento,"CONSTRUCCION DEL EQUIPAMIENTO E INSTALACIONES PARA EL PARQUE RECREATIVO ""MIRAVALLE""","AV. ARTES PLASTICAS Y ANTONIO CASTRO, EN LA COL. 1ro DE MAYO DE LA ZONA 7 CRUZ DEL SUR",Zona 7: Cruz del Sur,2746800.0,obraDetalle.php?id_obra=14EQPZ7164,Napreco Grupo Constructor S.A. de C.V.,NGC010921SV7
OPG-OD-EYP-AD-E01-172/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Estudios y Proyectos ( Proyecto ),ESTUDIOS TECNICOS - LUMINICOS PARA EL SISTEMA DE ALUMBRADO PUBLICO DE GUADALAJARA (1ra ETAPA).,VARIAS UBICACIONES: 59 AVENIDAS Y 140 COLONIAS.,Zona 8: Varias Zonas,2843470.0,obraDetalle.php?id_obra=14EYPVZ172,"Pareti Construcciones, S.A. de C.V.",PCO1201264F5
OPG-OD-EYP-AD-E01-173/14,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Estudios y Proyectos ( Proyecto ),PROYECTO Y SUPERVISION CONCEPTUAL DE LA RESTAURACION EX HACIENDA OBLATOS (CENTRO CULTURAL OBLATOS).,"SAN PEDRO No.2919-A ENTRE AV. PLUTARCO ELIAS CALLES Y AV. ARTESANOS, EN LA COL. SAN ISIDRO OBLATOS DE LA ZONA 4 OBLATOS.",Zona 5: Olímpica,179220.0,obraDetalle.php?id_obra=14EYPZ4173,Arq. Liza Nohemi Tapia Garcia,TAGL661207PG0
