contrato,estatus,mes,modalidad,origen_de_recursos,tipo_infraestructura,descripcion_obra,ubicacion,zona,presupuesto,ejercido_url,contratista,contratista_rfc
OPG-OD-EQP-AD-C20-252/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Obras Varias Construcción,"A) CONSTRUCCION DE ESTRUCTURA PARA LA COLOCACION DE ESCULTURA CONMEMORATIVA DEL BICENTENARIO, EN CONCRETO Y CANTERA LAMINADA, INSTALACION ELACTRICA, INSTALACION HIDRAHULICA Y JARDINERIA; B) SUMINISTRO E INSTALACION DE ESCULTURA ALUSIVA A DON JUAN CRUZ RUI","A) CALZ. INDEPENDENCIA Y CALZ. GONZALEZ GALLO, EN ESQUINA DE PARQUE AGUA AZUL DE LA ZONA 1 CENTRO; B) A UN COSTADO DEL INSTITUTO CULTURAL CABAÑAS EN EL JARDIN LOPEZ PORTILLO, DIONISIO RODRIGUEZ Y CABAÑAS, EN EL CENTRO HISTORICO DE LA CIUDAD, DE LA ZONA 1",Zona 1: Centro,280642.2,obraDetalle.php?id_obra=10EQPZ1252,Copaso Construcciones S.A. de C.V.,CCO990427F5A
OPG-OD-CON-AD-C20-253/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Riesgos ( Contingencias ),"APUNTALAMIENTO (REFORZADO) DE TRABES EN EL ESTACIONAMIENTO DE LA PLAZA LIBERACION DEL 7 AL 09 DE OCTUBRE DE 2010, APUNTALAMIENTO (REFORZADO) DE TRABES EN EL ESTACIONAMIENTO DE LA PLAZA LIBERACION DEL 19 AL 25 DE NOVIEMBRE DE 2010, APUNTALAMIENTO (LIGERO)","PRIMER CUADRO DEL CENTRO HISTORICO DE LA CIUDAD, DE LA ZONA 1 CENTRO",Zona 1: Centro,790511.93,obraDetalle.php?id_obra=10CONZ1253,Constructora TGV S.A. de C.V.,CTG070803966
OPG-SUBSEMUN-EQP-AD-C20-254/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,FEDERAL,Obras Varias Construcción,"CONSTRUCCION Y REMODELACION DE LA ""BASE ZONA PROVIDENCIA DE LA SECRETARIA DE SEGURIDAD CIUDADANA"", PARA LA INCORPORACION DE ESPACIOS PARA PROCESOS DE PREVENCION DEL DELITO, COMANDANCIA ZONA 2","NUEVA ESCOCIA Y PABLO NERUDA, EN LA COL. PROVIDENCIA DE LA ZONA 2 MINERVA",Zona 2: Minerva,4300000.0,obraDetalle.php?id_obra=10EQPZ2254,"Servicios Metropolitanos de Jalisco, S.A. de C.V.",SMJ090317FS9
OPG-CONADE-PAV-LP-C20-255/10,En proceso de Firmas,Diciembre,LICITACION PUBLICA,FEDERAL,Obras Varias Construcción,CONSTRUCCION Y ADECUACION DE ANDADOR DEPORTIVO PANAMERICANO 2011 ''PABLO NERUDA'',"PABLO NERUDA DE ONTARIO A ACUEDUCTO, EN LA COL. PROVIDENCIA DE LA ZONA 2 MINERVA",Zona 2: Minerva,15000000.0,obraDetalle.php?id_obra=10PAVZ20255,Constructora y Proyectos Montreal S.A. de C.V.,CPM081119NX0
OPG-OD-EQP-AD-C20-256/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Alcantarillado y Pavimentación,OBRAS DE ENCAUSAMIENTO PARA AGUA PLUVIAL,"EN EL CRUCE DE LA CALZ. INDEPENDENCIA NORTE E IGUALDAD EN EL CAUCE DEL CANAL LA FEDERACHA, EN LA COL. LA FEDERACHA ESPERANZA DE LA ZONA 3 HUENTITAN",Zona 3: Huentitán,1750296.0,obraDetalle.php?id_obra=10EQPZ3256,Dios Constructora S.A. de C.V.,DCO0012063C5
OPG-OD-EYP-AD-C20-257/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Estudios y Proyectos ( Proyecto ),PROYECTO EJECUTIVO DE PAR VIAL NIÑOS HEROES- AVENIDA LA PAZ,"AV. NIÑOS HEROES Y AV. DE LA PAZ, DE LA ZONA 1 CENTRO",Zona 1: Centro,2396226.0,obraDetalle.php?id_obra=10EYPZ1257,Servicios Profesionales y Construcción Méndez Martínez S.A. de C.V.,SPC071105S59
OPG-OD-EYP-AD-C20-258/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Estudios y Proyectos ( Proyecto ),PROYECTO ARQUITECTONICO  Y EJECUTIVO PARA LA REHABILITACION DEL PARQUE AVILA CAMACHO,"PARQUE AVILA CAMACHO EN EL CRUCE DE AV.PATRIA Y AV. MANUEL AVILA CAMACHO, EN LA COL. JARDINES DEL COUNTRY DE LA ZONA 2 MINERVA",Zona 2: Minerva,875210.0,obraDetalle.php?id_obra=10EYPZ2258,Ime Servicios y Suministros S.A. de C.V.,ISS920330811
OPG-OD-PAV-AD-C20-259/10,En proceso de Firmas,Diciembre,ASIGNACION DIRECTA,MUNICIPAL,Pavimentos,"GERENCIA EN SITIO PARA LA CONSTRUCCION DE PASO A DESNIVEL EN CIRCUNVALACION DIVISION DEL NORTE Y AVENIDA MANUEL AVILA CAMACHO (TRAMO 1) Y (TRAMO 2), CONSISTENTE EN DIRECCION, GESTION Y ADMINISTRACION PARA EL PROYECTO DE INGENIERIAS E IMAGEN URBANA",CIRCUNVALACION DIVISION DEL NORTE Y AV. MANUEL AVILA CAMACHO EN LA COL. JARDINES DEL COUNTRY DE LA ZONA 2 MINERVA,Zona 2: Minerva,8504270.12,obraDetalle.php?id_obra=10PAVZ2259,Constructora Cautin S.A. de C.V.,CCA840903279
OPG-R33-EQP-LP-C13-193/10,En proceso de Firmas,Noviembre,LICITACION PUBLICA,APORTACION FEDERAL RAMO 33,Obras Varias Rehabilitación,REHABILITACION DE FACHADAS Y BANQUETAS EN LA CALLE MIGUEL OROZCO CAMACHO,"MIGUEL OROZCO CAMACHO ENTRE AHUEHUETES Y EL No.4809, EN LA COL. LAZARO CARDENAS DE LA ZONA 7 CRUZ DEL SUR.",Zona 7: Cruz del Sur,8813967.52,obraDetalle.php?id_obra=10EQPZ70193,Grupo Constructor Pavimaq S.A. de C.V.,GCP080129AMA
OPG-R33-EQP-LP-C14-200/10,En proceso de Firmas,Noviembre,LICITACION PUBLICA,APORTACION FEDERAL RAMO 33,Obras Varias Construcción,"CONSTRUCCION DE CENTRO ESCOLAR INFANTIL ''LA FEDERACHA'', ESTUDIOS DE GEOLOGIA Y CALCULO ESTRUCTURAL MOTIVADOS POR LA PRESENCIA DE GALERIA FILTRANTE, ASI COMO LA TRASPLANTACION DE ARBOLES","DENTRO DEL POLIGONO DE BELISARIO DOMINGUEZ, AV. DE LA CRUZ Y CONCORDIA, EN LA COL. LA FEDERACHA DE LA ZONA 3 HUENTITAN",Zona 3: Huentitán,5952348.62,obraDetalle.php?id_obra=10EQPZ30200,"Grupo Constructor Gunema, S.A. de C.V.",GCG011129LB5
OPG-R33-PAV-AD-C15-217/10,En proceso de Firmas,Noviembre,ASIGNACION DIRECTA,APORTACION FEDERAL RAMO 33,Pavimentos,"PAVIMENTACION CON CONCRETO HIDRAULICO, SUSTITUCION DE RED HIDROSANITARIA, CAMBIO DE TOMAS Y DESCARGAS DOMICILIARIAS","COLUMBIA RIVERA ENTRE SAMUEL NAVARRO Y ANSELMO CAMACHO, EN LA COL. LOMAS DE POLANCO DE LA ZONA 7 CRUZ DEL SUR",Zona 7: Cruz del Sur,2003339.49,obraDetalle.php?id_obra=10PAVZ7217,Ruaterra S.A. de C.V.,RUA041212F59
OPG-CZM-PAV-LP-C15-220/10,En proceso de Firmas,Noviembre,LICITACION PUBLICA,CONSEJO METROPOLITANO,Pavimentos,"OBRAS DE IMAGEN URBANA, PAVIMENTOS Y BALIZAMIENTO (1ra SECCION)",EN VARIAS ZONAS DEL ORIENTE DEL MUNICIPIO DE GUADALAJARA,Zona 8: Varias Zonas,37983650.47,obraDetalle.php?id_obra=10CZMZV0220,"Constructores en Corporación, S.A. de C.V.",CCO780607JD6
