contrato,estatus,mes,modalidad,origen_de_recursos,tipo_infraestructura,descripcion_obra,ubicacion,zona,presupuesto,ejercido_url,contratista,contratista_rfc
DOP-CON-EST-CZM-LP-102-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Parques,"2DA ETAPA, RENOVACION INTEGRAL DEL PARQUE REVOLUCIÓN Y SUS CALLES ALEDAÑAS. FRENTE 1 MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,8041071.21,obraDetalle.php?id_obra=15CONZ01102,Proyectos  E Insumos Industriales Jelp S.A. de C.V.,PEI020208RW0
DOP-CON-EST-CZM-LP-103-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Parques,"2DA ETAPA, RENOVACION INTEGRAL DEL PARQUE REVOLUCIÓN Y SUS CALLES ALEDAÑAS. FRENTE 2 MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,7583095.43,obraDetalle.php?id_obra=15CONZ01103,"Lacariere Edificaciones, S.A. de C.V.",LED091006JG1
DOP-CON-EST-CZM-LP-104-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Parques,"2DA ETAPA, RENOVACION INTEGRAL DEL PARQUE REVOLUCION Y SUS CALLES ALEDAÑAS, FRENTE 3, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,5088595.06,obraDetalle.php?id_obra=15CONZ05104,Fazort y Compañia S.A. de C.V.,FAZ831215CSA
DOP-CON-EST-CZM-LP-105-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Obras Varias Rehabilitación,"2DA ETAPA, RENOVACION URBANA DEL BARRIO DE SAN ANDRES, FRENTE 1, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 5: Olímpica,9089552.81,obraDetalle.php?id_obra=15CONZ05105,Grupo Elizaar Elizaar S.A. de C.V.,GEE0012153I0
DOP-CON-EST-CZM-LP-106-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Obras Varias Rehabilitación,"2DA ETAPA, RENOVACION URBANA DEL BARRIO DE SAN ANDRES, FRENTE 2, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 5: Olímpica,4025042.88,obraDetalle.php?id_obra=15CONZ5106,Tecnologia Civil Aztech S. de R.L. de C.V.,TCA0103088RA
DOP-CON-EST-CZM-LP-107-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Obras Varias Rehabilitación,"2DA. ETAPA, RENOVACIÓN URBANA DE LA AVENIDA CHAPULTEPEC, TRAMO 1 (AV. MÉXICO A AV. HIDALGO), FRENTE 1, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,12974026.24,obraDetalle.php?id_obra=15COZ01107,"SJ Lagos Constructora e Inmobiliaria, S.A. de C.V.",SLC090211283
DOP-CON-EST-CZM-LP-108-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Obras Varias Rehabilitación,"2DA ETAPA, RENOVACION URBANA DE LA  AVENIDA CHAPULTEPEC, TRAMO 2 (AV. HIDALGO A AV. VALLARTA), FRENTE 1, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,14655960.35,obraDetalle.php?id_obra=15CONZ01108,"Ingenieria y Proyectos Liderazgo, S.A. de C.V.",IPL081209LV2
DOP-CON-EST-CZM-LP-109-15,En proceso de Firmas,Diciembre,LICITACION PUBLICA,ESTATAL,Obras Varias Rehabilitación,"2DA ETAPA, RENOVACIÓN URBANA DEL BARRIO DE SANTA TERESITA, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 1: Centro,7140174.09,obraDetalle.php?id_obra=15CONZ01109,Pavimentos Industriales y Urbanizaciones S.A. de C.V.,PIU790912MS1
DOP-REH-FED-HAB-CI-111-15,En proceso de Firmas,Diciembre,"CONCURSO INVITACION                    



Invitaciones",TRIPARTITA,Centros de Desarrollo Comunitario,"140391ME004 AMPLIACION DEL CENTRO DE DESARROLLO COMUNITARIO BALCONES DE OBLATOS, UBICADA EN HACIENDA DE CEDROS ENTRE RANCHO GRANDE Y HACIENDA ZENZONTLA, EN LA COL. LOMAS DE SAN EUGENIO DE LA ZONA 6 TETLAN, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 4: Oblatos,2459083.5,obraDetalle.php?id_obra=15REHZ06111,SB  Ingenieros Civiles S. A. de C.V.,SIC980529I59
DOP-REH-FED-HAB-CI-112-15,En proceso de Firmas,Diciembre,"CONCURSO INVITACION                    



Invitaciones",TRIPARTITA,Centros de Desarrollo Comunitario,"140391ME005 AMPLIACION DEL CENTRO DE DESARROLLO COMUNITARIO EN EDUCACION POPULAR ARANDAS, UBICADA EN HACIENDA DE TALA ENTRE HACIENDA LA AURORA Y ALBINO CORZO ANGEL, EN LA COL. LOMAS DE OBLATOS DE LA ZONA 6 TETLAN, MUNICIPIO DE GUADALAJARA, JALISCO.",.,Zona 4: Oblatos,2229641.19,obraDetalle.php?id_obra=15REHZ06112,Sam-Trac S.A. de C.V.,STR960701CU4
